iter	Passed	Remaining
177	9138	16531
178	9211	16518
179	9286	16508
180	9332	16447
181	9390	16407
182	9462	16391
183	9536	16377
184	9607	16358
185	9666	16318
186	9732	16290
187	9791	16250
188	9853	16213
189	9927	16197
190	9986	16156
191	10066	16147
192	10179	16192
193	10228	16133
194	10288	16092
195	10349	16051
196	10432	16046
197	10511	16032
198	10572	15991
199	10616	15924
200	10664	15864
201	10716	15809
202	10791	15789
203	10901	15817
204	10957	15767
205	11011	15715
206	11079	15682
207	11152	15656
208	11248	15661
209	11309	15618
210	11356	15554
211	11450	15555
212	11507	15504
213	11567	15459
214	11651	15445
215	11781	15490
216	11874	15485
217	11950	15459
218	12006	15405
219	12091	15389
220	12148	15336
221	12190	15265
222	12245	15210
223	12361	15231
224	12430	15193
225	12521	15180
226	12569	15116
227	12631	15068
228	12709	15040
229	12755	14973
230	12818	14926
231	12894	14894
232	12941	14830
233	13014	14793
234	13058	14726
235	13102	14656
236	13159	14603
237	13201	14532
238	13244	14463
239	13298	14406
240	13344	14341
241	13427	14314
242	13479	14255
243	13556	14223
244	13632	14189
245	13714	14160
246	13765	14099
247	13806	14029
248	13847	13958
249	13899	13899
250	13975	13863
251	14066	13843
252	14121	13786
253	14162	13716
254	14218	13660
255	14260	13591
256	14340	13559
257	14429	13534
258	14513	13505
259	14648	13521
260	14711	13471
261	14784	13430
262	14828	13362
263	14896	13316
264	14937	13246
265	15018	13211
266	15073	13153
267	15126	13094
268	15204	13056
269	15244	12985
270	15286	12917
271	15329	12849
272	15389	12796
273	15434	12730
274	15489	12672
275	15569	12635
276	15622	12576
277	15661	12506
278	15716	12449
279	15768	12389
280	15849	12352
281	15908	12297
282	15946	12227
283	15987	12159
284	16063	12117
285	16141	12077
286	16191	12016
287	16243	11957
288	16294	11896
289	16333	11827
290	16383	11766
291	16421	11697
292	16459	11628
293	16510	11568
294	16585	11525
295	16646	11472
296	16711	11422
297	16763	11362
298	16891	11355
299	16945	11296
300	17026	11256
301	17072	11192
302	17111	11125
303	17162	11065
304	17213	11005
305	17264	10945
306	17305	10879
307	17390	10840
308	17467	10796
309	17542	10751
310	17595	10692
311	17633	10625
312	17673	10559
313	17752	10515
314	17805	10457
315	17844	10390
316	17920	10345
317	17996	10299
318	18074	10255
319	18157	10213
320	18205	10152
321	18282	10106
322	18356	10058
323	18397	9993
324	18439	9928
325	18482	9864
326	18555	9816
327	18627	9767
328	18723	9731
329	18813	9691
330	18861	9630
331	18953	9590
332	18999	9528
333	19120	9503
334	19195	9454
335	19274	9407
336	19320	9344
337	19407	9301
338	19464	9244
339	19541	9196
340	19615	9146
341	19663	9084
342	19741	9036
343	19816	8986
344	19901	8941
345	19983	8894
346	20049	8840
347	20088	8774
348	20164	8724
349	20210	8661
350	20286	8611
351	20379	8568
352	20467	8523
353	20559	8479
354	20604	8415
355	20693	8370
356	20766	8318
357	20855	8272
358	20929	8220
359	21011	8171
360	21056	8107
361	21103	8044
362	21174	7991
363	21219	7928
364	21346	7895
365	21401	7835
366	21492	7788
367	21538	7725
368	21618	7674
369	21667	7612
370	21745	7561
371	21833	7512
372	21901	7456
373	21988	7407
374	22064	7354
375	22111	7292
376	22158	7229
377	22231	7175
378	22272	7110
379	22314	7046
380	22357	6983
381	22402	6920
382	22487	6869
383	22528	6805
384	22597	6750
385	22644	6687
386	22717	6633
387	22800	6581
388	22840	6517
389	22882	6454
390	22923	6390
391	22964	6327
392	23007	6264
393	23050	6201
394	23131	6148
395	23212	6096
396	23279	6039
397	23319	5976
398	23361	5913
399	23447	5861
400	23527	5808
401	23579	5748
402	23649	5692
403	23692	5629
404	23736	5567
405	23823	5515
406	23864	5453
407	23932	5396
408	24014	5342
409	24057	5280
410	24107	5220
411	24176	5163
412	24216	5101
413	24257	5039
414	24307	4978
415	24349	4916
416	24396	4855
417	24478	4802
418	24546	4745
419	24586	4683
420	24665	4628
421	24706	4566
422	24774	4509
423	24819	4448
424	24859	4386
425	24897	4324
426	24936	4263
427	25017	4208
428	25078	4150
429	25153	4094
430	25216	4037
431	25294	3981
432	25372	3926
433	25411	3864
434	25487	3808
435	25538	3748
436	25613	3692
437	25653	3631
438	25756	3578
439	25795	3517
440	25868	3460
441	25925	3402
442	25967	3341
443	26049	3285
444	26089	3224
445	26129	3163
446	26171	3103
447	26210	3042
448	26261	2982
449	26341	2926
450	26396	2867
451	26445	2808
452	26527	2752
453	26580	2693
454	26631	2633
455	26670	2573
456	26709	2513
457	26761	2454
458	26814	2395
459	26866	2336
460	26906	2276
461	26946	2216
462	27033	2160
463	27071	2100
464	27135	2042
465	27175	1982
466	27296	1928
467	27348	1870
468	27429	1813
469	27505	1755
470	27555	1696
471	27629	1639
472	27666	1579
473	27705	1519
474	27781	1462
475	27821	1402
476	27874	1344
477	27988	1288
478	28051	1229
479	28103	1170
480	28168	1112
481	28207	1053
482	28247	994
483	28287	935
484	28338	876
485	28388	817
486	28475	760
487	28551	702
488	28628	644
489	28679	585
490	28755	527
491	28806	468
492	28858	409
493	28897	350
494	28935	292
495	28976	233
496	29031	175
497	29091	116
498	29131	58
499	29205	0
