iter	Accuracy	Logloss
0	1	0.6316345479
1	1	0.6068919725
2	1	0.5738510136
3	1	0.5343890852
4	1	0.4973184981
5	1	0.4607566357
6	1	0.4408373616
7	1	0.4224654988
8	1	0.403875555
9	1	0.3812488545
10	1	0.3450717907
11	1	0.3282829199
12	1	0.3021927131
13	1	0.2832986645
14	1	0.2613810726
15	1	0.2489249312
16	1	0.2328043878
17	1	0.2246568468
18	1	0.2143514558
19	1	0.2080178701
20	1	0.2028928531
21	1	0.1870060739
22	1	0.1765775563
23	1	0.1728330946
24	1	0.1630360815
25	1	0.1549725156
26	1	0.1510078064
27	1	0.1488724966
28	1	0.1385541184
29	1	0.1344185878
30	1	0.1268438474
31	1	0.1200015903
32	1	0.112437433
33	1	0.1066658994
34	1	0.1003052496
35	1	0.0964135797
36	1	0.09451646291
37	1	0.08920873948
38	1	0.08630404657
39	1	0.08235257904
40	1	0.07944702929
41	1	0.07837133207
42	1	0.07531671129
43	1	0.0724016211
44	1	0.07074011556
45	1	0.06876373834
46	1	0.06551075525
47	1	0.06359482831
48	1	0.06121710635
49	1	0.05850935805
50	1	0.05661271585
51	1	0.05466695231
52	1	0.05279822248
53	1	0.05148682417
54	1	0.0502530641
55	1	0.0489762573
56	1	0.0476677418
57	1	0.0464451043
58	1	0.04471121266
59	1	0.04331396279
60	1	0.04208930612
61	1	0.0406152578
62	1	0.0401444769
63	1	0.03928770745
64	1	0.03797343962
65	1	0.03732366968
66	1	0.03611766683
67	1	0.03497650427
68	1	0.03448148389
69	1	0.03342625713
70	1	0.03283848175
71	1	0.03204845606
72	1	0.03166642382
73	1	0.03075362227
74	1	0.03044680513
75	1	0.02992300042
76	1	0.0292658077
77	1	0.02876053504
78	1	0.02845282686
79	1	0.0280082952
80	1	0.02766055089
81	1	0.02728066939
82	1	0.02657440067
83	1	0.025899559
84	1	0.02525424816
85	1	0.02494514766
86	1	0.02462649488
87	1	0.02403555381
88	1	0.02357942255
89	1	0.02303185008
90	1	0.02273013057
91	1	0.02236082081
92	1	0.02193150813
93	1	0.02144955575
94	1	0.02098618599
95	1	0.02054041464
96	1	0.02011132243
97	1	0.01986578793
98	1	0.01960544468
99	1	0.01947033036
100	1	0.01924117724
101	1	0.01885926428
102	1	0.01849080571
103	1	0.01813514564
104	1	0.01779166825
105	1	0.01745979484
106	1	0.01713898121
107	1	0.01689293042
108	1	0.01671118364
109	1	0.01655239404
110	1	0.01639094793
111	1	0.01622450805
112	1	0.01594352421
113	1	0.0158532514
114	1	0.01570481933
115	1	0.01549560616
116	1	0.01535341542
117	1	0.01509921278
118	1	0.01496384827
119	1	0.01488798548
120	1	0.01464763849
121	1	0.01446711382
122	1	0.01434225463
123	1	0.01426710389
124	1	0.01404473142
125	1	0.01382865853
126	1	0.01361863447
127	1	0.0135151909
128	1	0.01345033167
129	1	0.01339610649
130	1	0.01327149938
131	1	0.01317588276
132	1	0.01310833424
133	1	0.01300939672
134	1	0.01290592979
135	1	0.01272091961
136	1	0.01262179572
137	1	0.01252553341
138	1	0.01241888253
139	1	0.01233916441
140	1	0.01229008164
141	1	0.01224072419
142	1	0.01218168282
143	1	0.01210389448
144	1	0.01208280792
145	1	0.01191897552
146	1	0.01181979081
147	1	0.01172230213
148	1	0.01163522411
149	1	0.01158092751
150	1	0.01142946677
151	1	0.01137796409
152	1	0.01128757069
153	1	0.01124963686
154	1	0.01120962193
155	1	0.01118814128
156	1	0.0111470978
157	1	0.01110635738
158	1	0.0110641547
159	1	0.01102645894
160	1	0.01094146146
161	1	0.01090076454
162	1	0.01081774093
163	1	0.0107737033
164	1	0.01069264039
165	1	0.01067308522
166	1	0.0105935584
167	1	0.01051525223
168	1	0.01045822277
169	1	0.01041709555
170	1	0.01034141739
171	1	0.0103195004
172	1	0.01028301882
173	1	0.01020927471
174	1	0.01017009147
175	1	0.01009798808
176	1	0.01005966355
177	1	0.01002498385
178	1	0.009987211191
179	1	0.009953029403
180	1	0.009883964253
181	1	0.00984549533
182	1	0.009812352413
183	1	0.009783731162
184	1	0.009750911415
185	1	0.009713447546
