iter	Accuracy	Logloss
186	1	0.009681096296
187	1	0.009644167125
188	1	0.009607524293
189	1	0.009575869158
190	1	0.009539743634
191	1	0.009508601762
192	1	0.00947297509
193	1	0.00941030671
194	1	0.009375426217
195	1	0.00934080855
196	1	0.009314806033
197	1	0.009287946288
198	1	0.00925395804
199	1	0.009194119585
200	1	0.009135080025
201	1	0.009076823184
202	1	0.009019333324
203	1	0.009003768616
204	1	0.008971856801
205	1	0.008940174864
206	1	0.0089162786
207	1	0.008892526116
208	1	0.008875719591
209	1	0.008844696454
210	1	0.008790047475
211	1	0.008773617848
212	1	0.008743309945
213	1	0.008713214928
214	1	0.008697070322
215	1	0.008674453674
216	1	0.008658462341
217	1	0.008632719728
218	1	0.008603359971
219	1	0.008587639616
220	1	0.008558584878
221	1	0.008507333765
222	1	0.008478829743
223	1	0.008463550001
224	1	0.008435337842
225	1	0.00842021716
226	1	0.008370605053
227	1	0.008343014178
228	1	0.008319077781
229	1	0.008270652448
230	1	0.008243718043
231	1	0.008220342271
232	1	0.008173061714
233	1	0.008150086385
234	1	0.008103612207
235	1	0.008057686225
236	1	0.008032125509
237	1	0.007987025715
238	1	0.007942449666
239	1	0.007917626967
240	1	0.007873840583
241	1	0.007860607084
242	1	0.007836297016
243	1	0.007823191831
244	1	0.007810135659
245	1	0.007797128202
246	1	0.007773201914
247	1	0.007730971661
248	1	0.007689216021
249	1	0.00766595813
250	1	0.007653409966
251	1	0.007640907755
252	1	0.007617937546
253	1	0.007577389803
254	1	0.007554806208
255	1	0.007514943796
256	1	0.007502874218
257	1	0.00749084804
258	1	0.007478865006
259	1	0.007456862146
260	1	0.007418012599
261	1	0.007396372179
262	1	0.007358165468
263	1	0.007339423061
264	1	0.007301803807
265	1	0.007290400863
266	1	0.007269499803
267	1	0.007248720654
268	1	0.007236898082
269	1	0.007200323924
270	1	0.00716413222
271	1	0.007128316875
272	1	0.007108346431
273	1	0.007073099809
274	1	0.007053442228
275	1	0.007042773513
276	1	0.007023283765
277	1	0.006988879958
278	1	0.006969691802
279	1	0.006950610764
280	1	0.006940407518
281	1	0.006921486575
282	1	0.006888076808
283	1	0.006855000618
284	1	0.00684506556
285	1	0.006834999188
286	1	0.00681665119
287	1	0.006798403338
288	1	0.006780254806
289	1	0.006748202047
290	1	0.006730324407
291	1	0.006698752938
292	1	0.006667487773
293	1	0.006650040871
294	1	0.006640518077
295	1	0.006623211732
296	1	0.006605997061
297	1	0.006588873329
298	1	0.006579673895
299	1	0.006562686434
300	1	0.006553410788
301	1	0.00652347677
302	1	0.006493825565
303	1	0.006477281795
304	1	0.006460823681
305	1	0.006444450551
306	1	0.006415522651
307	1	0.00640175783
308	1	0.006386172768
309	1	0.006370673912
310	1	0.006354745682
311	1	0.006326596186
312	1	0.006298704661
313	1	0.0062836163
314	1	0.006268120769
315	1	0.006240741744
316	1	0.006225927227
317	1	0.006212569356
318	1	0.006197905937
319	1	0.006185070499
320	1	0.006158382946
321	1	0.006145683983
322	1	0.006133038077
323	1	0.006106798225
324	1	0.006080790775
325	1	0.006055012581
326	1	0.006042730312
327	1	0.006030498529
328	1	0.006018327194
329	1	0.00600455643
330	1	0.005979403949
331	1	0.005967080965
332	1	0.005942240466
333	1	0.005928817266
334	1	0.005917040598
335	1	0.005905311334
336	1	0.005880975205
337	1	0.005869386859
338	1	0.00584534998
339	1	0.005833899997
340	1	0.005822495463
341	1	0.005798841704
342	1	0.005787572245
343	1	0.005776347167
344	1	0.005763652816
345	1	0.005752198273
346	1	0.005741111412
347	1	0.005718096632
348	1	0.005707139327
349	1	0.005684399945
350	1	0.005673569908
351	1	0.005661325515
352	1	0.005649141319
353	1	0.005638145119
354	1	0.005615935011
355	1	0.005605381431
356	1	0.005594851077
357	1	0.00558407176
358	1	0.005573622296
359	1	0.005563212449
360	1	0.005541572665
361	1	0.005520107433
362	1	0.005509893274
363	1	0.00548867636
364	1	0.005478291969
365	1	0.005457317291
366	1	0.005445996602
367	1	0.005425268651
368	1	0.005415398244
369	1	0.005394905972
370	1	0.00538514445
371	1	0.005375430874
372	1	0.005365741106
373	1	0.005354209714
374	1	0.005344597062
375	1	0.005324623333
376	1	0.005304804438
377	1	0.005295365431
378	1	0.00527576697
379	1	0.00525631894
380	1	0.005237019576
381	1	0.005217867135
382	1	0.005206941037
383	1	0.005188007943
384	1	0.005178972548
385	1	0.005160245233
386	1	0.005149291795
387	1	0.005138389282
388	1	0.005119949933
389	1	0.005101647789
390	1	0.005083481288
391	1	0.00506544889
392	1	0.005047549079
393	1	0.005029780361
394	1	0.005019357608
395	1	0.005008981268
396	1	0.005000550803
397	1	0.004983105243
398	1	0.004965785839
399	1	0.004957621434
400	1	0.004940479562
401	1	0.004923460529
402	1	0.004915310813
403	1	0.00489846714
404	1	0.004881743069
405	1	0.00487384479
406	1	0.004857289172
407	1	0.004849353933
408	1	0.004840301019
409	1	0.004823971131
410	1	0.004807755392
411	1	0.004797986667
412	1	0.00478194572
413	1	0.004766015879
414	1	0.004750195965
415	1	0.004734484815
416	1	0.004718881283
417	1	0.004710294003
418	1	0.004701117838
419	1	0.004685730346
420	1	0.004677264773
421	1	0.0046620335
422	1	0.004652835417
423	1	0.004637763328
424	1	0.004622792354
425	1	0.004607921457
426	1	0.004593149612
427	1	0.004586137215
428	1	0.004577228803
429	1	0.004570269826
430	1	0.004563234128
431	1	0.004555204415
432	1	0.004548318186
433	1	0.004533913177
434	1	0.00452598918
435	1	0.004517902335
436	1	0.004511130189
437	1	0.004496957337
438	1	0.004488973917
439	1	0.004474943168
440	1	0.004466462289
441	1	0.004458586689
442	1	0.004444745638
443	1	0.004437126877
444	1	0.004423419159
445	1	0.004409799147
446	1	0.004396265979
447	1	0.004382818808
448	1	0.004375236575
449	1	0.004367846893
450	1	0.004360316041
451	1	0.004347088074
452	1	0.004339792919
453	1	0.004332358446
454	1	0.004324949976
455	1	0.004311935892
456	1	0.004299002883
457	1	0.004291709108
458	1	0.004284440594
459	1	0.00427719721
460	1	0.004264474251
461	1	0.004251829627
462	1	0.004244840572
463	1	0.004232312424
464	1	0.004226265841
465	1	0.004213848477
466	1	0.004206982884
467	1	0.004199998398
468	1	0.004193179754
469	1	0.004187324795
470	1	0.00418040441
471	1	0.004173652835
472	1	0.004161536027
473	1	0.004149492037
474	1	0.004143758001
475	1	0.004131817056
476	1	0.004125078569
477	1	0.004118502086
478	1	0.004111295639
479	1	0.00410462289
480	1	0.00409746537
481	1	0.004085785636
482	1	0.004074174823
483	1	0.004062632307
484	1	0.004056116876
485	1	0.004049622786
486	1	0.004043606753
487	1	0.004037612328
488	1	0.004030767136
489	1	0.004024353091
490	1	0.004018421656
491	1	0.004012046858
492	1	0.004005692717
493	1	0.003994527709
494	1	0.003983427121
495	1	0.003972390384
496	1	0.003966162196
497	1	0.003959953953
498	1	0.003949048928
499	1	0.003943331217
